ITEM TYPE,RETAIL SALES
WINE,0.00
WINE,0.25
WINE,0.00
WINE,0.00
WINE,0.00
WINE,2.69
WINE,0.00
WINE,0.00
WINE,51.22
WINE,0.08
WINE,0.00
LIQUOR,16.18
WINE,0.24
DANTE BARREL SEL CHARD - 750ML,WINE
DANTE SP SEL CAB - 750ML,WINE
DANTE SPEC SEL MER - 750ML,WINE
WINE,29.00
WINE,1.16
KEN FORRESTER PET P/TAGE - 750ML,WINE
PEACHY CANYON ZIN INCRED RED - 750ML,WINE
WINE,0.57
LIQUOR,1.40
WINE,0.00
WINE,0.00
WINE,0.08
WINE,0.00
WINE,0.00
WINE,0.65
VINUM INSIDER CAB SAUV - 750ML,WINE
WINE,0.00
WINE,0.65
WINE,61.11
WINE,0.00
WINE,8.80
WINE,0.32
WINE,1.39
WINE,0.00
WINE,0.58
WINE,0.00
LIQUOR,5.19
BARNARD GRIFFIN CAB - 750ML,WINE
WINE,0.00
WINE,2.72
WINE,0.00
LIQUOR,12.67
LIQUOR,17.73
WINE,1.80
LIQUOR,0.34
WINE,0.00
LIQUOR,0.18
WINE,0.00
WINE,0.00
LIQUOR,8.97
WINE,0.08
CH DE PARAZA MINERVIOS - 750ML,WINE
LIQUOR,1.84
WINE,0.72
WINE,0.08
WINE,13.01
WINE,1.07
LIQUOR,3.05
WINE,0.00
LIQUOR,0.17
WINE,0.68
WINE,3.60
WINE,0.29
WINE,0.00
WINE,0.00
WINE,0.40
LIQUOR,0.32
LIQUOR,0.64
LIQUOR,0.34
WINE,4.56
WINE,1.05
WINE,4.60
LIQUOR,0.17
LIQUOR,2.86
WINE,2.82
WINE,6.79
WINE,1.88
LIQUOR,5.77
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,1.16
WINE,2.00
WINE,1.23
WINE,0.25
WINE,0.00
WINE,0.00
WINE,2.62
WINE,0.00
WINE,0.00
WINE,0.51
WINE,0.34
WINE,1.06
LIQUOR,1.36
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,2.25
WINE,1.77
LIQUOR,0.17
GAIA ASSYRTIKO THALASSITIS - 750ML,WINE
LA GUITA MANZANILLA - 375ML,WINE
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.16
LIQUOR,6.08
LIQUOR,5.51
LIQUOR,3.69
LIQUOR,0.00
WINE,0.00
LIQUOR,1.20
LIQUOR,3.45
LIQUOR,3.10
WINE,0.00
WINE,0.00
WINE,2.83
LIQUOR,4.76
WINE,0.00
WINE,0.00
WINE,1.44
LIQUOR,0.64
LIQUOR,0.96
LIQUOR,0.00
WINE,0.00
WINE,0.00
WINE,5.14
LIQUOR,2.71
WINE,3.31
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
BEER,0.00
BEER,0.00
WINE,0.00
WINE,0.00
WINE,1.55
WINE,2.47
LIQUOR,1.19
WINE,0.00
LIQUOR,0.85
WINE,0.16
WINE,1.76
WINE,0.90
WINE,0.00
WINE,21.14
LIQUOR,0.33
WINE,0.00
WINE,1.48
WINE,0.00
LIQUOR,0.51
WINE,0.00
WINE,0.00
WINE,24.53
WINE,1.12
WINE,0.00
LIQUOR,6.63
LIQUOR,7.80
WINE,13.24
NON-ALCOHOL,17.98
NON-ALCOHOL,7.13
NON-ALCOHOL,15.73
WINE,0.00
LIQUOR,2.72
WINE,3.77
WINE,0.83
LIQUOR,4.50
WINE,0.00
LIQUOR,1.53
LIQUOR,28.71
WINE,0.00
WINE,0.49
WINE,0.40
HAHN EST CHARD - 750ML,WINE
BEER,0.00
HAHN EST MER - 750ML,WINE
LIQUOR,0.68
WINE,0.00
WINE,0.00
CITRA MONT D'ABRU - 750ML,WINE
WINE,0.00
BARBOURSVILLE S/BLC - 750ML,WINE
WINE,0.00
NON-ALCOHOL,3.16
LIQUOR,0.40
WINE,0.00
LIQUOR,0.51
WINE,0.34
YAEGAKI NIGORI SAKE - 720ML,WINE
WINE,29.29
WINE,0.24
WINE,1.67
CAPARZO SANG - 750ML,WINE
TASCA D'ALMERITA REGALEALI ROS - 750ML,WINE
WINE,0.00
WINE,0.08
WINE,0.16
WINE,0.16
WINE,0.66
GRAHAMS LBV PORT 3/CS - 750ML,WINE
WINE,0.08
WINE,1.31
WINE,0.99
WINE,0.00
LIQUOR,1.70
FALESCO EST EST EST - 750ML,WINE
LIQUOR,55.32
LIQUOR,5.05
WINE,0.00
WINE,0.08
WINE,0.00
WINE,0.00
DUNNAGE,0.00
WINE,20.16
WINE,10.96
WINE,0.50
LIQUOR,65.55
BEER,0.00
LIQUOR,23.76
WINE,0.97
WINE,0.00
DR PAULY BERG BERN BAD RIES KAB - 750ML,WINE
WINE,0.00
WINE,0.49
BEER,0.00
WINE,0.00
WINE,10.98
WINE,6.93
LIQUOR,18.22
WINE,1.21
LIQUOR,8.31
WINE,0.91
LIQUOR,32.64
LIQUOR,15.40
WINE,0.00
LIQUOR,1.43
WINE,0.00
WINE,13.30
LIQUOR,0.32
LIQUOR,6.96
LIQUOR,21.94
LIQUOR,11.10
LIQUOR,0.40
WINE,8.43
WINE,0.00
CASTELLARE DI CASTELLINA CHN - 750ML,WINE
LIQUOR,1.01
OXFORD LANDING MER - 750ML,WINE
WINE,0.34
WINE,0.24
WINE,4.87
WINE,3.83
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.65
LIQUOR,0.16
WINE,0.00
WINE,0.16
WINE,0.00
WINE,4.51
STELLA P/GRIG - 1.5L,WINE
WINE,3.64
WINE,0.41
LIQUOR,0.12
WINE,0.00
LIQUOR,5.82
CIELO PINOT GRIG DEL VENETO - 750ML,WINE
L'ECOLE NO 41 COL VLY CAB - 750ML,WINE
WINE,1.91
WINE,0.00
BORSAO - 750ML,WINE
LIQUOR,22.55
ZENATO P/GRIG - 750ML,WINE
LIQUOR,0.99
WINE,9.98
LIQUOR,0.51
